order_id,order_date,amount,product_id
CA-2016-152156,2016-11-08,261.96,FUR-BO-10001798
CA-2016-152156,2016-11-08,731.94,FUR-CH-10000454
CA-2016-138688,2016-06-12,14.62,OFF-LA-10000240
US-2015-108966,2015-10-11,957.5775,FUR-TA-10000577
US-2015-108966,2015-10-11,22.368,OFF-ST-10000760
CA-2014-115812,2014-06-09,48.86,FUR-FU-10001487
CA-2014-115812,2014-06-09,7.28,OFF-AR-10002833
CA-2014-115812,2014-06-09,907.152,TEC-PH-10002275
CA-2014-115812,2014-06-09,18.504,OFF-BI-10003910
CA-2014-115812,2014-06-09,114.9,OFF-AP-10002892
CA-2014-115812,2014-06-09,1706.184,FUR-TA-10001539
CA-2014-115812,2014-06-09,911.424,TEC-PH-10002033
CA-2017-114412,2017-04-15,15.552,OFF-PA-10002365
CA-2016-161389,2016-12-05,407.976,OFF-BI-10003656
US-2015-118983,2015-11-22,68.81,OFF-AP-10002311
US-2015-118983,2015-11-22,2.544,OFF-BI-10000756
CA-2014-105893,2014-11-11,665.88,OFF-ST-10004186
CA-2014-167164,2014-05-13,55.5,OFF-ST-10000107
CA-2014-143336,2014-08-27,8.56,OFF-AR-10003056
CA-2014-143336,2014-08-27,213.48,TEC-PH-10001949
CA-2014-143336,2014-08-27,22.72,OFF-BI-10002215
CA-2016-137330,2016-12-09,19.46,OFF-AR-10000246
CA-2016-137330,2016-12-09,60.34,OFF-AP-10001492
US-2017-156909,2017-07-16,71.372,FUR-CH-10002774
CA-2015-106320,2015-09-25,1044.63,FUR-TA-10000577
CA-2016-121755,2016-01-16,11.648,OFF-BI-10001634
CA-2016-121755,2016-01-16,90.57,TEC-AC-10003027
US-2015-150630,2015-09-17,3083.43,FUR-BO-10004834
US-2015-150630,2015-09-17,9.618,OFF-BI-10000474
US-2015-150630,2015-09-17,124.2,FUR-FU-10004848
US-2015-150630,2015-09-17,3.264,OFF-EN-10001509
US-2015-150630,2015-09-17,86.304,OFF-AR-10004042
US-2015-150630,2015-09-17,6.858,OFF-BI-10001525
US-2015-150630,2015-09-17,15.76,OFF-AR-10001683
CA-2017-107727,2017-10-19,29.472,OFF-PA-10000249
CA-2016-117590,2016-12-08,1097.544,TEC-PH-10004977
CA-2016-117590,2016-12-08,190.92,FUR-FU-10003664
CA-2015-117415,2015-12-27,113.328,OFF-EN-10002986
CA-2015-117415,2015-12-27,532.3992,FUR-BO-10002545
CA-2015-117415,2015-12-27,212.058,FUR-CH-10004218
CA-2015-117415,2015-12-27,371.168,TEC-PH-10000486
CA-2017-120999,2017-09-10,147.168,TEC-PH-10004093
CA-2016-101343,2016-07-17,77.88,OFF-ST-10003479
CA-2017-139619,2017-09-19,95.616,OFF-ST-10003282
CA-2016-118255,2016-03-11,45.98,TEC-AC-10000171
CA-2016-118255,2016-03-11,17.46,OFF-BI-10003291
CA-2014-146703,2014-10-20,211.96,OFF-ST-10001713
CA-2016-169194,2016-06-20,45,TEC-AC-10002167
CA-2016-169194,2016-06-20,21.8,TEC-PH-10003988
CA-2015-115742,2015-04-18,38.22,OFF-BI-10004410
CA-2015-115742,2015-04-18,75.18,OFF-LA-10002762
CA-2015-115742,2015-04-18,6.16,FUR-FU-10001706
CA-2015-115742,2015-04-18,89.99,FUR-CH-10003061
CA-2016-105816,2016-12-11,15.26,OFF-FA-10000304
CA-2016-105816,2016-12-11,1029.95,TEC-PH-10002447
CA-2016-111682,2016-06-17,208.56,OFF-ST-10000604
CA-2016-111682,2016-06-17,32.4,OFF-PA-10001569
CA-2016-111682,2016-06-17,319.41,FUR-CH-10003968
CA-2016-111682,2016-06-17,14.56,OFF-PA-10000587
CA-2016-111682,2016-06-17,30,TEC-AC-10002167
CA-2016-111682,2016-06-17,48.48,OFF-BI-10001460
CA-2016-111682,2016-06-17,1.68,OFF-AR-10001868
CA-2015-135545,2015-11-24,13.98,TEC-AC-10004633
CA-2015-135545,2015-11-24,25.824,OFF-BI-10001078
CA-2015-135545,2015-11-24,146.73,OFF-PA-10003892
CA-2015-135545,2015-11-24,79.76,FUR-FU-10000397
US-2015-164175,2015-04-30,213.115,FUR-CH-10001146
CA-2014-106376,2014-12-05,1113.024,OFF-AR-10002671
CA-2014-106376,2014-12-05,167.968,TEC-PH-10002726
CA-2016-119823,2016-06-04,75.88,OFF-PA-10000482
CA-2016-106075,2016-09-18,4.616,OFF-BI-10004654
CA-2017-114440,2017-09-14,19.05,OFF-PA-10004675
US-2015-134026,2015-04-26,831.936,FUR-CH-10000513
US-2015-134026,2015-04-26,97.04,FUR-FU-10003708
US-2015-134026,2015-04-26,72.784,OFF-ST-10004123
US-2017-118038,2017-12-09,1.248,OFF-BI-10004182
US-2017-118038,2017-12-09,9.708,FUR-FU-10000260
US-2017-118038,2017-12-09,27.24,OFF-ST-10000615
US-2014-147606,2014-11-26,19.3,FUR-FU-10003194
CA-2016-127208,2016-06-12,208.16,OFF-AP-10002118
CA-2016-127208,2016-06-12,16.74,OFF-BI-10002309
CA-2014-139451,2014-10-12,14.9,OFF-AR-10002053
CA-2014-139451,2014-10-12,21.39,OFF-ST-10002370
CA-2015-149734,2015-09-03,200.984,OFF-EN-10000927
US-2017-119662,2017-11-13,230.376,OFF-ST-10003656
CA-2017-140088,2017-05-28,301.96,FUR-CH-10000863
CA-2017-155558,2017-10-26,19.99,TEC-AC-10001998
CA-2017-155558,2017-10-26,6.16,OFF-LA-10000134
CA-2016-159695,2016-04-05,158.368,OFF-ST-10003442
CA-2016-109806,2016-09-17,20.1,OFF-AR-10004930
CA-2016-109806,2016-09-17,73.584,TEC-PH-10004093
CA-2016-109806,2016-09-17,6.48,OFF-PA-10000304
CA-2015-149587,2015-01-31,12.96,OFF-PA-10003177
